lat	lon	title	description	iconSize	iconOffset	icon
53.33972	-6.25886	Dawson Lounge	Smallest Pub In Ireland	21,25	-10,-25	images/beer.png
53.32900	-6.23036	Paddy Cullens	Rugger Bar, but not bad	21,25	-10,-25	images/beer.png
53.32905	-6.23048	Crowes Pub	Can't Remember. Possibly Drunk	21,25	-10,-25	images/beer.png
53.33387	-6.24527	The Wellington	Decent Boozer. On the Lansdowne route.	21,25	-10,-25	images/beer.png
53.33332	-6.24303	Searsons	Cock Pub. Think its closed.	21,25	-10,-25	images/beer.png
53.33788	-6.24276	Scruffy Murphys	Good Pub for pre Ireland match drinks. Always a decent crowd and sometimes free nibbles	21,25	-10,-25	images/beer.png
53.33837	-6.24317	Oil Can Harrys	Quiet Pub, nice feel to it.	21,25	-10,-25	images/beer.png
53.34418	-6.24910	The Lombard	Near Pearse St Dart station. Not mad about it.	21,25	-10,-25	images/beer.png
53.34688	-6.25551	Mulligans	Auld farts pub. Usually a good crowd	21,25	-10,-25	images/beer.png
53.34741	-6.25589	White Horse	Meh... More of a restaurant bar	21,25	-10,-25	images/beer.png
53.34511	-6.27575	O'Sheas The Merchant	Went in here for a relief pint after the horrifying experience that was The Brazen Head. FUCK YOU AMERICANS	21,25	-10,-25	images/beer.png
53.34568	-6.25753	Doyles	Cunt Pub Cunt Pub Cunt Pub	21,25	-10,-25	images/beer.png
53.33164	-6.26441	George Bernard Shaw	Decent Bar. Pitchers of Buckfast. Ouch	21,25	-10,-25	images/beer.png
53.34685	-6.25914	Fitzgeralds	Da Mhamais hangout	21,25	-10,-25	images/beer.png
53.34583	-6.26346	Ha'penny Bridge Inn	Good Pub. Sometimes have blues lads upstairs	21,25	-10,-25	images/beer.png
53.35004	-6.25088	Kates Cottage	Decent Pub. Think its been renamed.	21,25	-10,-25	images/beer.png
53.34385	-6.26064	O'Neills	Bit of a tourist pub. But not the worst	21,25	-10,-25	images/beer.png
53.33814	-6.25395	O'Donoghues	Good Pub. Proper bar and good night life in the lounge	21,25	-10,-25	images/beer.png
53.34029	-6.31680	McDowells	Supersaints Pub. nuff said	21,25	-10,-25	images/beer.png
53.33965	-6.32089	Black Lion	Good banter after a game	21,25	-10,-25	images/beer.png
53.33687	-6.24896	Larry Murphys	Decent Boozer. A bit isolated	21,25	-10,-25	images/beer.png
53.33057	-6.26059	The Barge	Great place to sit on the canal with a pint on a warm day	21,25	-10,-25	images/beer.png
53.36753	-6.25564	Fagans	Berties local ;-)	21,25	-10,-25	images/beer.png
53.34020	-6.31509	Taveys	Real nice pub. laptop for a jukebox...	21,25	-10,-25	images/beer.png
53.34227	-6.33976	The Laurence	Has been done up to look like faux Irish pub. tut tut	21,25	-10,-25	images/beer.png
53.34490	-6.26794	The Czech Inn	Czech Beer and Disco Bar...	21,25	-10,-25	images/beer.png
53.34479	-6.26767	Turks Head	Samba lessons downstairs. WTF	21,25	-10,-25	images/beer.png
53.35230	-6.26041	Living Room	Great Sports Bar	21,25	-10,-25	images/beer.png
53.34508	-6.26595	Purty Kitchen	Ok bar. Usually has some music	21,25	-10,-25	images/beer.png
53.33582	-6.25632	Houricans	Small Pub off Stephens Green. Good Atmosphere	21,25	-10,-25	images/beer.png
53.33435	-6.26506	Cassidys	Think this pub might be gone now	21,25	-10,-25	images/beer.png
53.34638	-6.25678	Chaplains	Small Pub across from the Cinema. Me Da had his Stag there	21,25	-10,-25	images/beer.png
53.33389	-6.26494	The Bleedin' Horse	Not Bad. Gets a big office crowd	21,25	-10,-25	images/beer.png
53.34049	-6.26123	Sinnots Bar	Downstairs Pub. Good for matches	21,25	-10,-25	images/beer.png
53.34449	-6.26304	Citi Bar	COCKtail bar, wont be returning	21,25	-10,-25	images/beer.png
53.34428	-6.26398	Mercantile	Weird. Looks like an old Palace or something. Well. A palace that sells beer	21,25	-10,-25	images/beer.png
53.35268	-6.26135	Murrays	Right in the heart. Good for football	21,25	-10,-25	images/beer.png
53.34133	-6.26357	The Hairy Lemon	Decent Pub. Good Area.	21,25	-10,-25	images/beer.png
53.34116	-6.26357	Peters Pub	Cant remember. Possibly drunk	21,25	-10,-25	images/beer.png
53.34594	-6.25949	Buskers Bar	Popular Dubs hangout	21,25	-10,-25	images/beer.png
53.34373	-6.26539	Brogans	Tis a pub	21,25	-10,-25	images/beer.png
53.34180	-6.26031	Bruxelles	Check out the Phillo tribute	21,25	-10,-25	images/beer.png
53.34575	-6.25486	McTurtles	Too big. No atmosphere	21,25	-10,-25	images/beer.png
53.34758	-6.34598	The Bridge Inn	Good for a pint while waiting for the bus after a Pats match	21,25	-10,-25	images/beer.png
53.35830	-6.27324	The Red Windmill	Kev: "Worst Pint ever!"	21,25	-10,-25	images/beer.png
53.35811	-6.26337	Kavanaghs	Pre Irish Match Pint when they played in Croker	21,25	-10,-25	images/beer.png
53.33937	-6.24144	Becky Morgans	Small Pub. Good Atmosphere. Good Paninis	21,25	-10,-25	images/beer.png
53.36649	-6.27114	The Botanic House	Uncle Ronnie!	21,25	-10,-25	images/beer.png
53.33728	-6.23357	The Lansdowne	Small Pub. Good atmosphere. Great before a Lansdowne match	21,25	-10,-25	images/beer.png
53.35077	-6.25336	Mother Kellys	Got the Pints but they didnt have any t-shirts	21,25	-10,-25	images/beer.png
53.33356	-6.25527	Kobra Bar	Cock Pub. Only went to crash the ESB Christmas Party.	21,25	-10,-25	images/beer.png
53.33855	-6.25307	Foleys	Famous Persons haunt. We didnt see any. Nice pub.	21,25	-10,-25	images/beer.png
53.34484	-6.25245	O'Neills	Put it off for ages because we thought it was closed. May actually be closed now	21,25	-10,-25	images/beer.png
53.35057	-6.26802	Woolshed	Aussie Bar. Good seelction of beers. Great for sport	21,25	-10,-25	images/beer.png
53.34217	-6.25076	Kennedys	Cunt Pub. Refused Kev for being a scummer. Shall never return	21,25	-10,-25	images/beer.png
53.36716	-6.25568	Kennedys	Pre Croker/Shells matches	21,25	-10,-25	images/beer.png
53.34449	-6.26304	The Foggy Dew	Kev doesnt like. I do. Contentious	21,25	-10,-25	images/beer.png
53.29352	-6.13341	Gastro Pub	More Restaurant than pub. But we were desperate for a pint...	21,25	-10,-25	images/beer.png
53.33978	-6.31906	Tommy Croughs	New Pub in Inchicore. A bit too nice looking	21,25	-10,-25	images/beer.png
53.33739	-6.23204	Murrays	Maybe only opens for matches	21,25	-10,-25	images/beer.png
53.33665	-6.23665	The Beggars Bush	Decent Old Looking Pub. Good for a pre match pint. Not too dear	21,25	-10,-25	images/beer.png
53.33716	-6.23415	The Shelbourne House	Aliens once abducted Tom from the Bar	21,25	-10,-25	images/beer.png
53.34821	-6.26817	Slatterys	Early House on Capel St. Decent	21,25	-10,-25	images/beer.png
